PicoQuant	FluoFit	4.4.0.1				
Saved	:	08/04/2011	16:20:08			
Data	Set	#0				
Decay	IRF					
t[ns]	Intens.	t[ns]	Intens.			
3.6656	5512	3.7296	10			
3.6729	5474	3.7369	15			
3.6803	5390	3.7443	8			
3.6876	5326	3.7516	5			
3.6949	5370	3.7589	13			
3.7023	5379	3.7663	4			
3.7096	5159	3.7736	15			
3.7169	5269	3.7809	10			
3.7243	5169	3.7883	15			
3.7316	5230	3.7956	13			
3.7389	5226	3.8029	13			
3.7463	4987	3.8103	11			
3.7536	4997	3.8176	5			
3.7609	5032	3.8249	6			
3.7682	4950	3.8322	5			
3.7756	4948	3.8396	2			
3.7829	4828	3.8469	5			
3.7902	4835	3.8542	5			
3.7976	4849	3.8616	5			
3.8049	4742	3.8689	2			
3.8122	4739	3.8762	2			
3.8196	4762	3.8836	2			
3.8269	4756	3.8909	4			
3.8342	4723	3.8982	2			
3.8416	4635	3.9056	2			
3.8489	4554	3.9129	2			
3.8562	4525	3.9202	4			
3.8636	4448	3.9276	4			
3.8709	4505	3.9349	2			
3.8782	4554	3.9422	2			
3.8855	4386	3.9495	6			
3.8929	4433	3.9569	4			
3.9002	4311	3.9642	3			
3.9075	4320	3.9715	4			
3.9149	4364	3.9789	5			
3.9222	4371	3.9862	5			
3.9295	4330	3.9935	6			
3.9369	4277	4.0009	6			
3.9442	4327	4.0082	4			
3.9515	4186	4.0155	7			
3.9589	4089	4.0229	8			
3.9662	4075	4.0302	12			
3.9735	4125	4.0375	5			
3.9809	4106	4.0449	8			
3.9882	4017	4.0522	5			
3.9955	3991	4.0595	1			
4.0028	3908	4.0668	4			
4.0102	3934	4.0742	3			
4.0175	3909	4.0815	8			
4.0248	3820	4.0888	2			
4.0322	3885	4.0962	2			
4.0395	3742	4.1035	1			
4.0468	3783	4.1108	5			
4.0542	3845	4.1182	0			
4.0615	3769	4.1255	1			
4.0688	3686	4.1328	1			
4.0762	3717	4.1402	2			
4.0835	3710	4.1475	0			
4.0908	3611	4.1548	2			
4.0982	3663	4.1622	3			
4.1055	3595	4.1695	1			
4.1128	3555	4.1768	1			
4.1201	3633	4.1841	2			
4.1275	3523	4.1915	2			
4.1348	3501	4.1988	2			
4.1421	3405	4.2061	2			
4.1495	3442	4.2135	0			
4.1568	3447	4.2208	1			
4.1641	3408	4.2281	0			
4.1715	3312	4.2355	1			
4.1788	3303	4.2428	0			
4.1861	3402	4.2501	0			
4.1935	3381	4.2575	1			
4.2008	3385	4.2648	1			
4.2081	3276	4.2721	0			
4.2155	3353	4.2795	0			
4.2228	3256	4.2868	0			
4.2301	3272	4.2941	0			
4.2374	3152	4.3014	0			
4.2448	3172	4.3088	2			
4.2521	3098	4.3161	0			
