PicoQuant	FluoFit	4.4.0.1				
Saved	:	08/04/2011	16:23:43			
Model:	Exp.	[Reconv.]	(Exponential)			
t[ns]	Intens.	t[ns]	Intens.			
2.3313	2	2.4037	0			
2.3387	1	2.411	0			
2.346	1	2.4184	0			
2.3533	4	2.4257	0			
2.3607	2	2.433	0			
2.368	3	2.4404	0			
2.3753	3	2.4477	0			
2.3826	2	2.455	0			
2.39	2	2.4623	1			
2.3973	5	2.4697	1			
2.4046	1	2.477	1			
2.412	2	2.4843	1			
2.4193	3	2.4917	0			
2.4266	2	2.499	0			
2.434	3	2.5063	0			
2.4413	4	2.5137	1			
2.4486	3	2.521	0			
2.456	3	2.5283	0			
2.4633	2	2.5357	2			
2.4706	4	2.543	0			
2.478	4	2.5503	3			
2.4853	1	2.5577	0			
2.4926	2	2.565	3			
2.5001	5	2.5723	3			
2.5073	3	2.5796	3			
2.5146	2	2.587	2			
2.5219	1	2.5943	1			
2.5293	2	2.6016	3			
2.5366	2	2.609	2			
2.5439	3	2.6163	3			
2.5513	3	2.6236	5			
2.5586	1	2.631	8			
2.5659	2	2.6383	3			
2.5733	3	2.6456	2			
2.5806	2	2.653	4			
2.5879	3	2.6603	9			
2.5953	2	2.6676	9			
2.6026	3	2.675	12			
2.6099	4	2.6823	12			
2.6172	4	2.6896	15			
2.6246	6	2.6969	17			
2.6319	3	2.7043	25			
2.6392	5	2.7116	39			
2.6466	6	2.7189	62			
2.6539	4	2.7263	91			
2.6612	6	2.7336	128			
2.6686	10	2.7409	198			
2.6759	9	2.7483	310			
2.6832	12	2.7556	550			
2.6906	16	2.7629	905			
2.6979	12	2.7703	1388			
2.7052	19	2.7776	2194			
2.7126	23	2.7849	3487			
2.7199	22	2.7923	4801			
2.7272	33	2.7996	6457			
2.7345	56	2.8069	8090			
2.7419	64	2.8142	9559			
2.7492	98	2.8216	10639			
2.7565	175	2.8289	10984			
2.7639	234	2.8362	11046			
2.7712	374	2.8436	10224			
2.7785	589	2.8509	9325			
2.7859	908	2.8582	8087			
2.7932	1287	2.8656	6541			
2.8005	1908	2.8729	5270			
2.8079	2603	2.8802	4254			
2.8152	3440	2.8876	3264			
2.8225	4349	2.8949	2403			
2.8299	5277	2.9022	1861			
2.8372	6277	2.9096	1411			
2.8445	7241	2.9169	1087			
2.8518	8007	2.9242	856			
2.8592	8732	2.9315	660			
2.8665	9246	2.9389	558			
2.8738	9686	2.9462	437			
2.8812	10068	2.9535	407			
2.8885	10280	2.9609	299			
2.8958	10514	2.9682	274			
2.9032	10472	2.9755	290			
2.9105	10594	2.9829	233			
2.9178	10665	2.9902	261			
2.9252	10620	2.9975	248			
2.9325	10824	3.0049	261			
2.9398	10880	3.0122	263			
2.9472	10836	3.0195	244			
2.9545	10683	3.0269	266			
2.9618	10902	3.0342	293			
2.9691	10765	3.0415	243			
2.9765	11046	3.0488	262			
